Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;;Ambos sexos;Total;Total;327.916
Total Nacional;;Ambos sexos;Total;Usuario experto;54.220
Total Nacional;;Ambos sexos;Total;Usuario de nivel avanzado;203.710
Total Nacional;;Ambos sexos;Total;Usuario de nivel básico;68.184
Total Nacional;;Ambos sexos;Total;No usuario de las TIC;626
Total Nacional;;Ambos sexos;Total;No consta;1.177
Total Nacional;;Ambos sexos;Centro Público;Total;203.592
Total Nacional;;Ambos sexos;Centro Público;Usuario experto;33.504
Total Nacional;;Ambos sexos;Centro Público;Usuario de nivel avanzado;122.252
Total Nacional;;Ambos sexos;Centro Público;Usuario de nivel básico;46.661
Total Nacional;;Ambos sexos;Centro Público;No usuario de las TIC;448
Total Nacional;;Ambos sexos;Centro Público;No consta;727
Total Nacional;;Ambos sexos;Centro Privado;Total;124.324
Total Nacional;;Ambos sexos;Centro Privado;Usuario experto;20.716
Total Nacional;;Ambos sexos;Centro Privado;Usuario de nivel avanzado;81.458
Total Nacional;;Ambos sexos;Centro Privado;Usuario de nivel básico;21.523
Total Nacional;;Ambos sexos;Centro Privado;No usuario de las TIC;178
Total Nacional;;Ambos sexos;Centro Privado;No consta;449
Total Nacional;;Hombres;Total;Total;158.256
Total Nacional;;Hombres;Total;Usuario experto;40.504
Total Nacional;;Hombres;Total;Usuario de nivel avanzado;90.379
Total Nacional;;Hombres;Total;Usuario de nivel básico;26.060
Total Nacional;;Hombres;Total;No usuario de las TIC;626
Total Nacional;;Hombres;Total;No consta;686
Total Nacional;;Hombres;Centro Público;Total;96.954
Total Nacional;;Hombres;Centro Público;Usuario experto;24.986
Total Nacional;;Hombres;Centro Público;Usuario de nivel avanzado;52.894
Total Nacional;;Hombres;Centro Público;Usuario de nivel básico;18.181
Total Nacional;;Hombres;Centro Público;No usuario de las TIC;448
Total Nacional;;Hombres;Centro Público;No consta;445
Total Nacional;;Hombres;Centro Privado;Total;61.302
Total Nacional;;Hombres;Centro Privado;Usuario experto;15.518
Total Nacional;;Hombres;Centro Privado;Usuario de nivel avanzado;37.485
Total Nacional;;Hombres;Centro Privado;Usuario de nivel básico;7.879
Total Nacional;;Hombres;Centro Privado;No usuario de las TIC;178
Total Nacional;;Hombres;Centro Privado;No consta;242
Total Nacional;;Mujeres;Total;Total;169.660
Total Nacional;;Mujeres;Total;Usuario experto;13.716
Total Nacional;;Mujeres;Total;Usuario de nivel avanzado;113.331
Total Nacional;;Mujeres;Total;Usuario de nivel básico;42.124
Total Nacional;;Mujeres;Total;No usuario de las TIC;0
Total Nacional;;Mujeres;Total;No consta;490
Total Nacional;;Mujeres;Centro Público;Total;106.638
Total Nacional;;Mujeres;Centro Público;Usuario experto;8.518
Total Nacional;;Mujeres;Centro Público;Usuario de nivel avanzado;69.358
Total Nacional;;Mujeres;Centro Público;Usuario de nivel básico;28.480
Total Nacional;;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;;Mujeres;Centro Público;No consta;282
Total Nacional;;Mujeres;Centro Privado;Total;63.022
Total Nacional;;Mujeres;Centro Privado;Usuario experto;5.198
Total Nacional;;Mujeres;Centro Privado;Usuario de nivel avanzado;43.973
Total Nacional;;Mujeres;Centro Privado;Usuario de nivel básico;13.644
Total Nacional;;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;;Mujeres;Centro Privado;No consta;208
Total Nacional;01 Andalucía;Ambos sexos;Total;Total;64.118
Total Nacional;01 Andalucía;Ambos sexos;Total;Usuario experto;9.806
Total Nacional;01 Andalucía;Ambos sexos;Total;Usuario de nivel avanzado;36.629
Total Nacional;01 Andalucía;Ambos sexos;Total;Usuario de nivel básico;17.428
Total Nacional;01 Andalucía;Ambos sexos;Total;No usuario de las TIC;164
Total Nacional;01 Andalucía;Ambos sexos;Total;No consta;92
Total Nacional;01 Andalucía;Ambos sexos;Centro Público;Total;46.082
Total Nacional;01 Andalucía;Ambos sexos;Centro Público;Usuario experto;6.780
Total Nacional;01 Andalucía;Ambos sexos;Centro Público;Usuario de nivel avanzado;25.869
Total Nacional;01 Andalucía;Ambos sexos;Centro Público;Usuario de nivel básico;13.269
Total Nacional;01 Andalucía;Ambos sexos;Centro Público;No usuario de las TIC;164
Total Nacional;01 Andalucía;Ambos sexos;Centro Público;No consta;0
Total Nacional;01 Andalucía;Ambos sexos;Centro Privado;Total;18.036
Total Nacional;01 Andalucía;Ambos sexos;Centro Privado;Usuario experto;3.025
Total Nacional;01 Andalucía;Ambos sexos;Centro Privado;Usuario de nivel avanzado;10.760
Total Nacional;01 Andalucía;Ambos sexos;Centro Privado;Usuario de nivel básico;4.159
