CCAA,Sexo,Tipo_Centro,Total,Usuario_Experto_Pct,Usuario_Avanzado_Pct,Usuario_Basico_Pct,No_Usuario_Pct,No_Consta_Pct,Usuario_Alto_Pct,Brecha_Digital_Pct,Calidad_TIC
Andalucía,Total,Centro Público,0.0,14.712903085803568,56.13688641986025,28.794323163057157,0.35588733127902433,0.0,70.84978950566381,29.150210494336182,Alta
Andalucía,Total,Centro Privado,0.0,16.772011532490573,59.658460856065645,23.059436682191173,0.0,0.5100909292526059,76.43047238855621,23.059436682191173,Alta
Aragón,Total,Centro Público,0.0,13.347256502752991,0.07594456047085628,17.486235048414656,0.0,0.550598063413708,13.423201063223848,17.486235048414656,Baja
Aragón,Total,Centro Privado,0.0,17.162403331350387,0.0594883997620464,24.71743010113028,0.0,2.409280190362879,17.221891731112432,24.71743010113028,Alta
"Asturias, Principado de",Total,Centro Público,0.0,18.78159757330637,0.05055611729019211,22.295247724974722,0.5561172901921132,0.0,18.832153690596563,22.851365015166834,Alta
"Asturias, Principado de",Total,Centro Privado,0.0,13.024475524475525,0.08741258741258741,20.41083916083916,0.0,0.0,13.111888111888112,20.41083916083916,Baja
"Balears, Illes",Total,Centro Público,0.0,15.160567587752054,0.04978839930296241,24.819517052526763,0.0,0.0,15.210355987055015,24.819517052526763,Alta
"Balears, Illes",Total,Centro Privado,0.0,14.30379746835443,0.06329113924050633,18.037974683544302,0.0,1.2341772151898733,14.367088607594937,18.037974683544302,Alta
Canarias,Total,Centro Público,0.0,15.351719322743934,56.86856344911852,27.779717228137546,0.0,0.0,72.22028277186246,27.779717228137546,Alta
Canarias,Total,Centro Privado,0.0,7.619047619047619,0.07518796992481203,24.536340852130326,0.0,0.0,7.694235588972431,24.536340852130326,Baja
Cantabria,Total,Centro Público,0.0,16.81893687707641,0.04152823920265781,21.428571428571427,0.0,0.0,16.86046511627907,21.428571428571427,Alta
Cantabria,Total,Centro Privado,0.0,13.972602739726028,63.49315068493151,21.164383561643834,0.684931506849315,0.684931506849315,77.46575342465754,21.849315068493148,Baja
Castilla - La Mancha,Total,Centro Público,0.0,20.77306944092024,54.23327412670219,22.498519834221433,0.47365304914150386,2.0214835490146323,75.00634356762242,22.972172883362937,Alta
Castilla - La Mancha,Total,Centro Privado,0.0,19.279393173198482,0.0632111251580278,18.615676359039192,0.0,0.0,19.34260429835651,18.615676359039192,Alta
Castilla y León,Total,Centro Público,0.0,17.19241302363323,63.41413936504716,19.393447611319605,0.0,0.0,80.6065523886804,19.393447611319605,Alta
Castilla y León,Total,Centro Privado,0.0,14.820691843859093,0.06347191367819739,0.015867978419549348,0.5712472231037766,0.0,14.88416375753729,0.587115201523326,Alta
Cataluña,Total,Centro Público,0.0,20.35300606729178,61.04982533553962,17.71158914016057,0.441257584114727,0.441257584114727,81.4028314028314,18.152846724275296,Alta
Cataluña,Total,Centro Privado,0.0,19.79307635220675,69.14480289867726,10.59938010215218,0.4583751691622648,0.0,88.93787925088401,11.057755271314445,Alta
Ceuta,Total,Centro Público,0.0,20.13888888888889,56.48148148148148,23.61111111111111,0.0,0.0,76.62037037037037,23.61111111111111,Alta
Ceuta,Total,Centro Privado,0.0,9.223300970873787,55.33980582524272,35.922330097087375,0.0,0.0,64.5631067961165,35.922330097087375,Baja
Comunitat Valenciana,Total,Centro Público,0.0,13.94446599789392,62.30671174416671,23.754364573518817,0.0,0.0,76.25117774206063,23.754364573518817,Baja
Comunitat Valenciana,Total,Centro Privado,0.0,14.2511888984174,65.47906759179855,18.70273641537382,0.0,1.5592110392141576,79.73025649021595,18.70273641537382,Baja
Extremadura,Total,Centro Público,0.0,13.413858868404322,0.06357279084551812,0.03178639542275906,0.0,0.0,13.47743165924984,0.03178639542275906,Baja
Extremadura,Total,Centro Privado,0.0,13.741875580315691,0.04642525533890436,22.934076137418757,0.5571030640668524,0.0,13.788300835654596,23.491179201485608,Baja
Galicia,Total,Centro Público,0.0,17.61835923382725,59.37838814600651,22.48825442717745,0.0,0.5149981929887966,76.99674737983375,22.48825442717745,Alta
Galicia,Total,Centro Privado,0.0,16.508178014454167,0.05705591479650057,18.295930011411183,0.0,0.0,16.565233929250667,18.295930011411183,Alta
"Madrid, Comunidad de",Total,Centro Público,0.0,17.852931465496912,59.350974010659876,21.895193622942315,0.0,0.9009009009009009,77.20390547615679,21.895193622942315,Alta
"Madrid, Comunidad de",Total,Centro Privado,0.0,17.51612232161431,66.86082795922613,15.623049719159559,0.0,0.0,84.37695028084045,15.623049719159559,Alta
Melilla,Total,Centro Público,0.0,20.71197411003236,52.9126213592233,25.40453074433657,0.000970873786407767,0.0,73.62459546925567,25.405501618122976,Alta
Melilla,Total,Centro Privado,0.0,0.0,42.15686274509804,45.09803921568628,0.0,0.012745098039215686,42.15686274509804,45.09803921568628,Baja
"Murcia, Región de",Total,Centro Público,0.0,16.39846743295019,64.92975734355045,17.943805874840358,0.7151979565772669,0.0,81.32822477650063,18.659003831417625,Alta
"Murcia, Región de",Total,Centro Privado,0.0,14.916979110873058,0.08034279592929834,16.256025709694697,0.0,0.0,14.997321906802355,16.256025709694697,Alta
"Navarra, Comunidad Foral de",Total,Centro Público,0.0,10.393646408839778,0.06906077348066299,20.027624309392266,0.0,0.5870165745856354,10.462707182320441,20.027624309392266,Baja
"Navarra, Comunidad Foral de",Total,Centro Privado,0.0,14.669223394055608,0.04793863854266539,16.682646212847555,0.7190795781399808,0.7190795781399808,14.717162032598274,17.401725790987534,Alta
País Vasco,Total,Centro Público,0.0,8.559046587215601,0.0773874013310633,0.015477480266212661,0.0,0.6655316514471444,8.636433988546663,0.015477480266212661,Baja
País Vasco,Total,Centro Privado,0.0,18.64588291289862,67.05140409328891,14.30271299381247,0.0,0.0,85.69728700618754,14.30271299381247,Alta
"Rioja, La",Total,Centro Público,0.0,21.170809943865276,54.21010425020048,24.057738572574177,0.0,0.5613472333600642,75.38091419406575,24.057738572574177,Alta
"Rioja, La",Total,Centro Privado,0.0,14.840989399293287,61.01295641931684,24.14605418138987,0.0,0.0,75.85394581861013,24.14605418138987,Alta
